GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD88,Estimate; 45 to 54 years: - 1.85 to 1.99
HD02_VD88,Margin of Error; 45 to 54 years: - 1.85 to 1.99
HD01_VD89,Estimate; 45 to 54 years: - 2.00 to 2.99
HD02_VD89,Margin of Error; 45 to 54 years: - 2.00 to 2.99
HD01_VD90,Estimate; 45 to 54 years: - 3.00 to 3.99
HD02_VD90,Margin of Error; 45 to 54 years: - 3.00 to 3.99
HD01_VD91,Estimate; 45 to 54 years: - 4.00 to 4.99
HD02_VD91,Margin of Error; 45 to 54 years: - 4.00 to 4.99
HD01_VD92,Estimate; 45 to 54 years: - 5.00 and over
HD02_VD92,Margin of Error; 45 to 54 years: - 5.00 and over
HD01_VD93,Estimate; 55 to 64 years:
HD02_VD93,Margin of Error; 55 to 64 years:
HD01_VD94,Estimate; 55 to 64 years: - Under .50
HD02_VD94,Margin of Error; 55 to 64 years: - Under .50
HD01_VD95,Estimate; 55 to 64 years: - .50 to .74
HD02_VD95,Margin of Error; 55 to 64 years: - .50 to .74
HD01_VD96,Estimate; 55 to 64 years: - .75 to .99
HD02_VD96,Margin of Error; 55 to 64 years: - .75 to .99
HD01_VD97,Estimate; 55 to 64 years: - 1.00 to 1.24
HD02_VD97,Margin of Error; 55 to 64 years: - 1.00 to 1.24
HD01_VD98,Estimate; 55 to 64 years: - 1.25 to 1.49
HD02_VD98,Margin of Error; 55 to 64 years: - 1.25 to 1.49
HD01_VD99,Estimate; 55 to 64 years: - 1.50 to 1.74
HD02_VD99,Margin of Error; 55 to 64 years: - 1.50 to 1.74
HD01_VD100,Estimate; 55 to 64 years: - 1.75 to 1.84
HD02_VD100,Margin of Error; 55 to 64 years: - 1.75 to 1.84
HD01_VD101,Estimate; 55 to 64 years: - 1.85 to 1.99
HD02_VD101,Margin of Error; 55 to 64 years: - 1.85 to 1.99
HD01_VD102,Estimate; 55 to 64 years: - 2.00 to 2.99
HD02_VD102,Margin of Error; 55 to 64 years: - 2.00 to 2.99
HD01_VD103,Estimate; 55 to 64 years: - 3.00 to 3.99
HD02_VD103,Margin of Error; 55 to 64 years: - 3.00 to 3.99
HD01_VD104,Estimate; 55 to 64 years: - 4.00 to 4.99
HD02_VD104,Margin of Error; 55 to 64 years: - 4.00 to 4.99
HD01_VD105,Estimate; 55 to 64 years: - 5.00 and over
HD02_VD105,Margin of Error; 55 to 64 years: - 5.00 and over
HD01_VD106,Estimate; 65 to 74 years:
HD02_VD106,Margin of Error; 65 to 74 years:
HD01_VD107,Estimate; 65 to 74 years: - Under .50
HD02_VD107,Margin of Error; 65 to 74 years: - Under .50
HD01_VD108,Estimate; 65 to 74 years: - .50 to .74
HD02_VD108,Margin of Error; 65 to 74 years: - .50 to .74
HD01_VD109,Estimate; 65 to 74 years: - .75 to .99
HD02_VD109,Margin of Error; 65 to 74 years: - .75 to .99
HD01_VD110,Estimate; 65 to 74 years: - 1.00 to 1.24
HD02_VD110,Margin of Error; 65 to 74 years: - 1.00 to 1.24
HD01_VD111,Estimate; 65 to 74 years: - 1.25 to 1.49
HD02_VD111,Margin of Error; 65 to 74 years: - 1.25 to 1.49
HD01_VD112,Estimate; 65 to 74 years: - 1.50 to 1.74
HD02_VD112,Margin of Error; 65 to 74 years: - 1.50 to 1.74
HD01_VD113,Estimate; 65 to 74 years: - 1.75 to 1.84
HD02_VD113,Margin of Error; 65 to 74 years: - 1.75 to 1.84
HD01_VD114,Estimate; 65 to 74 years: - 1.85 to 1.99
HD02_VD114,Margin of Error; 65 to 74 years: - 1.85 to 1.99
HD01_VD115,Estimate; 65 to 74 years: - 2.00 to 2.99
HD02_VD115,Margin of Error; 65 to 74 years: - 2.00 to 2.99
HD01_VD116,Estimate; 65 to 74 years: - 3.00 to 3.99
HD02_VD116,Margin of Error; 65 to 74 years: - 3.00 to 3.99
HD01_VD117,Estimate; 65 to 74 years: - 4.00 to 4.99
HD02_VD117,Margin of Error; 65 to 74 years: - 4.00 to 4.99
HD01_VD118,Estimate; 65 to 74 years: - 5.00 and over
HD02_VD118,Margin of Error; 65 to 74 years: - 5.00 and over
HD01_VD119,Estimate; 75 years and over:
HD02_VD119,Margin of Error; 75 years and over:
HD01_VD120,Estimate; 75 years and over: - Under .50
HD02_VD120,Margin of Error; 75 years and over: - Under .50
HD01_VD121,Estimate; 75 years and over: - .50 to .74
HD02_VD121,Margin of Error; 75 years and over: - .50 to .74
HD01_VD122,Estimate; 75 years and over: - .75 to .99
HD02_VD122,Margin of Error; 75 years and over: - .75 to .99
HD01_VD123,Estimate; 75 years and over: - 1.00 to 1.24
HD02_VD123,Margin of Error; 75 years and over: - 1.00 to 1.24
HD01_VD124,Estimate; 75 years and over: - 1.25 to 1.49
HD02_VD124,Margin of Error; 75 years and over: - 1.25 to 1.49
HD01_VD125,Estimate; 75 years and over: - 1.50 to 1.74
HD02_VD125,Margin of Error; 75 years and over: - 1.50 to 1.74
HD01_VD126,Estimate; 75 years and over: - 1.75 to 1.84
HD02_VD126,Margin of Error; 75 years and over: - 1.75 to 1.84
HD01_VD127,Estimate; 75 years and over: - 1.85 to 1.99
HD02_VD127,Margin of Error; 75 years and over: - 1.85 to 1.99
HD01_VD128,Estimate; 75 years and over: - 2.00 to 2.99
HD02_VD128,Margin of Error; 75 years and over: - 2.00 to 2.99
HD01_VD129,Estimate; 75 years and over: - 3.00 to 3.99
HD02_VD129,Margin of Error; 75 years and over: - 3.00 to 3.99
HD01_VD130,Estimate; 75 years and over: - 4.00 to 4.99
HD02_VD130,Margin of Error; 75 years and over: - 4.00 to 4.99
HD01_VD131,Estimate; 75 years and over: - 5.00 and over
HD02_VD131,Margin of Error; 75 years and over: - 5.00 and over
