Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,125,Dickens,3,21
2000-2010,2015,125,Dickens,4,22
2000-2010,2015,127,Dimmit,0,166
2000-2010,2015,127,Dimmit,1,167
2000-2010,2015,127,Dimmit,2,164
2000-2010,2015,127,Dimmit,3,157
2000-2010,2015,127,Dimmit,4,149
2000-2010,2015,129,Donley,0,44
2000-2010,2015,129,Donley,1,44
2000-2010,2015,129,Donley,2,40
2000-2010,2015,129,Donley,3,38
2000-2010,2015,129,Donley,4,40
2000-2010,2015,131,Duval,0,176
2000-2010,2015,131,Duval,1,176
2000-2010,2015,131,Duval,2,176
2000-2010,2015,131,Duval,3,173
2000-2010,2015,131,Duval,4,163
2000-2010,2015,133,Eastland,0,241
2000-2010,2015,133,Eastland,1,246
2000-2010,2015,133,Eastland,2,242
2000-2010,2015,133,Eastland,3,234
2000-2010,2015,133,Eastland,4,223
2000-2010,2015,135,Ector,0,"2,624"
2000-2010,2015,135,Ector,1,"2,607"
2000-2010,2015,135,Ector,2,"2,585"
2000-2010,2015,135,Ector,3,"2,559"
2000-2010,2015,135,Ector,4,"2,522"
2000-2010,2015,137,Edwards,0,28
2000-2010,2015,137,Edwards,1,28
2000-2010,2015,137,Edwards,2,28
2000-2010,2015,137,Edwards,3,28
2000-2010,2015,137,Edwards,4,27
2000-2010,2015,139,Ellis,0,"2,271"
2000-2010,2015,139,Ellis,1,"2,214"
2000-2010,2015,139,Ellis,2,"2,164"
2000-2010,2015,139,Ellis,3,"2,116"
2000-2010,2015,139,Ellis,4,"2,091"
2000-2010,2015,141,El Paso,0,"14,922"
2000-2010,2015,141,El Paso,1,"14,634"
2000-2010,2015,141,El Paso,2,"14,363"
2000-2010,2015,141,El Paso,3,"14,038"
2000-2010,2015,141,El Paso,4,"13,689"
2000-2010,2015,143,Erath,0,582
2000-2010,2015,143,Erath,1,584
2000-2010,2015,143,Erath,2,577
2000-2010,2015,143,Erath,3,581
2000-2010,2015,143,Erath,4,572
2000-2010,2015,145,Falls,0,208
2000-2010,2015,145,Falls,1,211
2000-2010,2015,145,Falls,2,212
2000-2010,2015,145,Falls,3,212
2000-2010,2015,145,Falls,4,215
2000-2010,2015,147,Fannin,0,380
2000-2010,2015,147,Fannin,1,383
2000-2010,2015,147,Fannin,2,376
2000-2010,2015,147,Fannin,3,379
2000-2010,2015,147,Fannin,4,382
2000-2010,2015,149,Fayette,0,265
2000-2010,2015,149,Fayette,1,260
2000-2010,2015,149,Fayette,2,254
2000-2010,2015,149,Fayette,3,255
2000-2010,2015,149,Fayette,4,252
2000-2010,2015,151,Fisher,0,46
2000-2010,2015,151,Fisher,1,44
2000-2010,2015,151,Fisher,2,43
2000-2010,2015,151,Fisher,3,42
2000-2010,2015,151,Fisher,4,43
2000-2010,2015,153,Floyd,0,95
2000-2010,2015,153,Floyd,1,92
2000-2010,2015,153,Floyd,2,92
2000-2010,2015,153,Floyd,3,89
2000-2010,2015,153,Floyd,4,86
2000-2010,2015,155,Foard,0,16
2000-2010,2015,155,Foard,1,16
2000-2010,2015,155,Foard,2,15
2000-2010,2015,155,Foard,3,15
2000-2010,2015,155,Foard,4,14
2000-2010,2015,157,Fort Bend,0,"8,179"
2000-2010,2015,157,Fort Bend,1,"8,080"
2000-2010,2015,157,Fort Bend,2,"8,018"
2000-2010,2015,157,Fort Bend,3,"8,047"
2000-2010,2015,157,Fort Bend,4,"8,261"
2000-2010,2015,159,Franklin,0,123
2000-2010,2015,159,Franklin,1,120
2000-2010,2015,159,Franklin,2,123
2000-2010,2015,159,Franklin,3,121
2000-2010,2015,159,Franklin,4,123
2000-2010,2015,161,Freestone,0,243
2000-2010,2015,161,Freestone,1,244
2000-2010,2015,161,Freestone,2,241
2000-2010,2015,161,Freestone,3,243
2000-2010,2015,161,Freestone,4,238
2000-2010,2015,163,Frio,0,262
2000-2010,2015,163,Frio,1,253
2000-2010,2015,163,Frio,2,245
2000-2010,2015,163,Frio,3,235
